,地址,经度,纬度
星巴克咖啡(汇融天地店),曹杨路555号汇融天地A座F1层,121.41363696115857,31.238677847574852
星巴克咖啡(118广场店),金沙江路1685号118广场4区咖啡金字塔(近真北路),121.37364335205785,31.234216368696263
星巴克咖啡(金沙广场店),金沙江路2239弄1号金沙和美广场F1层,121.36209270520108,31.239086588382467
星巴克咖啡(梅川路店),梅川路1297号,121.37498482601987,31.24614067134182
星巴克咖啡(品尊国际广场店),铜川路58弄21-22号品尊国际广场1层,121.41530379081999,31.25795247710822
星巴克(中远两湾城店),中潭路71号,121.43803907054202,31.254166288919347
星巴克咖啡(长风大悦城),大渡河路178号长风大悦城L101,121.39077336260941,31.22454180007967
星巴克咖啡(长城大厦店),中山北路3018号长城·弘基广场F1层,121.41050144615114,31.2395674306718
星巴克咖啡(芳汇广场店),长寿路1118号芳汇广场F1层L1-03,121.42270148613841,31.232407016054534
星巴克咖啡(财富时代店),长寿路136号财富时代大厦1层,121.43779839104212,31.244656110542522
星巴克咖啡(曲阳路店),曲阳路379号1楼1004单元,121.48675654703608,31.274879763831215
星巴克咖啡(合生财富广场店),大连路周家嘴路1089号合生财富广场,121.50296664698351,31.264704548154842
星巴克咖啡(瑞虹天地月亮湾),瑞虹路188号瑞虹天地月亮湾L1层L1-15,121.49455224476661,31.26606479262158
星巴克咖啡(嘉杰国际商业广场店),四川北路1689号嘉杰国际广场1层110、202室,121.47826297998913,31.260620022169345
星巴克咖啡(株洲路店),株洲路329号1-2层,121.46110753443374,31.2798901866469
星巴克咖啡(申虹广场店),四川北路1350号中信泰富申虹广场1楼(近武进路),121.48065475366501,31.254885451134996
星巴克,四川北路1689号嘉杰国际广场1层110、202室,121.47819877798496,31.260396934723126
星巴克咖啡(甘河路店),中山北一路与逸仙高架路入口交叉口东南150米,121.48312531816237,31.29103037987445
星巴克咖啡(1933老场坊店),沙泾路10号1933老场坊1层,121.48734419815318,31.25656838778576
星巴克咖啡(东宝兴路店),东宝兴路777号世纪联华1层1017F01002单元,121.47057271295895,31.26486354208318
星巴克咖啡(虹口龙之梦店),,121.46876209625323,31.273146068283015
星巴克咖啡(凯德龙之梦虹口店A座),西江湾路388号凯德龙之梦虹口店A座L1层,121.4742844302848,31.272243706824653
